ano,decil,region,comuna,poblacion,idse,ipc,pobreza,escolaridad,vivienda_material_bueno,vivienda_alcantarillado,esperanza_de_vida,índice_desarrollo_humano,avpp_tasa,swaroop,mortalidad_infantil
2016,5,7,talca,283.2,0.718,216.2,20.5,12.0,96.5,107.1,89.4,0.662,78.0,85.3,10.3
2012,5,11,cisnes,6.2,0.622,229.0,7.5,8.3,90.6,92.0,73.6,0.484,76.6,68.3,8.2
1992,5,11,cisnes,4.0,0.404,148.8,4.9,5.4,58.9,59.8,47.8,0.315,49.8,44.4,5.3
1996,5,11,cisnes,4.7,0.467,171.8,5.6,6.2,67.9,69.0,55.2,0.363,57.4,51.2,6.1
2000,5,11,cisnes,5.0,0.498,183.2,6.0,6.6,72.5,73.6,58.9,0.387,61.3,54.6,6.6
2004,5,11,cisnes,5.3,0.529,194.7,6.4,7.1,77.0,78.2,62.6,0.411,65.1,58.1,7.0
2008,5,11,cisnes,5.6,0.560,206.1,6.8,7.5,81.5,82.8,66.2,0.436,68.9,61.5,7.4
2016,5,11,cisnes,7.1,0.715,263.3,8.6,9.5,104.2,105.8,84.6,0.557,88.1,78.5,9.4
2012,5,13,curacaví,29.8,0.621,167.5,11.3,9.6,89.6,90.3,78.3,0.581,61.3,80.4,4.2
1992,5,13,curacaví,19.4,0.404,108.9,7.3,6.2,58.2,58.7,50.9,0.378,39.8,52.3,2.7
1996,5,13,curacaví,22.4,0.466,125.6,8.5,7.2,67.2,67.7,58.7,0.436,46.0,60.3,3.2
2000,5,13,curacaví,23.8,0.497,134.0,9.0,7.7,71.7,72.2,62.6,0.465,49.0,64.3,3.4
2004,5,13,curacaví,25.3,0.528,142.4,9.6,8.2,76.2,76.8,66.6,0.494,52.1,68.3,3.6
2008,5,13,curacaví,26.8,0.559,150.8,10.2,8.6,80.6,81.3,70.5,0.523,55.2,72.4,3.8
2016,5,13,curacaví,34.3,0.714,192.6,13.0,11.0,103.0,103.8,90.0,0.668,70.5,92.5,4.8
2012,5,10,puerto montt,242.8,0.619,214.2,12.7,9.7,86.6,85.9,76.1,0.551,76.9,66.9,9.2
1992,5,10,puerto montt,157.8,0.402,139.2,8.3,6.3,56.3,55.8,49.5,0.358,50.0,43.5,6.0
1996,5,10,puerto montt,182.1,0.464,160.6,9.5,7.3,64.9,64.4,57.1,0.413,57.7,50.2,6.9
2000,5,10,puerto montt,194.2,0.495,171.4,10.2,7.8,69.3,68.7,60.9,0.441,61.5,53.5,7.4
2004,5,10,puerto montt,206.4,0.526,182.1,10.8,8.2,73.6,73.0,64.7,0.468,65.4,56.9,7.8
2008,5,10,puerto montt,218.5,0.557,192.8,11.4,8.7,77.9,77.3,68.5,0.496,69.2,60.2,8.3
2016,5,10,puerto montt,279.2,0.712,246.3,14.6,11.2,99.6,98.8,87.5,0.634,88.4,76.9,10.6
2012,4,10,puerto varas,40.7,0.619,223.5,9.8,9.1,86.0,87.6,76.9,0.563,75.8,68.5,4.3
1992,4,10,puerto varas,26.5,0.402,145.3,6.4,5.9,55.9,56.9,50.0,0.366,49.3,44.5,2.8
1996,4,10,puerto varas,30.5,0.464,167.6,7.4,6.8,64.5,65.7,57.7,0.422,56.8,51.4,3.2
2000,4,10,puerto varas,32.6,0.495,178.8,7.8,7.3,68.8,70.1,61.5,0.450,60.6,54.8,3.4
2004,4,10,puerto varas,34.6,0.526,190.0,8.3,7.7,73.1,74.5,65.4,0.479,64.4,58.2,3.7
2008,4,10,puerto varas,36.6,0.557,201.2,8.8,8.2,77.4,78.8,69.2,0.507,68.2,61.6,3.9
2016,4,10,puerto varas,46.8,0.712,257.0,11.3,10.5,98.9,100.7,88.4,0.647,87.2,78.8,4.9
2012,4,5,san felipe,77.5,0.615,168.3,15.8,9.8,87.9,93.5,77.5,0.555,76.1,77.4,8.4
1992,4,5,san felipe,50.4,0.400,109.4,10.3,6.4,57.1,60.8,50.4,0.361,49.5,50.3,5.5
1996,4,5,san felipe,58.1,0.461,126.2,11.9,7.4,65.9,70.1,58.1,0.416,57.1,58.1,6.3
2000,4,5,san felipe,62.0,0.492,134.6,12.6,7.8,70.3,74.8,62.0,0.444,60.9,61.9,6.7
2004,4,5,san felipe,65.9,0.523,143.1,13.4,8.3,74.7,79.5,65.9,0.472,64.7,65.8,7.1
2008,4,5,san felipe,69.8,0.553,151.5,14.2,8.8,79.1,84.2,69.8,0.500,68.5,69.7,7.6
2016,4,5,san felipe,89.1,0.707,193.5,18.2,11.3,101.1,107.5,89.1,0.638,87.5,89.0,9.7
2012,4,5,la cruz,16.0,0.615,180.4,13.2,10.1,80.0,88.4,77.7,0.583,58.2,78.8,13.4
1992,4,5,la cruz,10.4,0.400,117.3,8.6,6.6,52.0,57.5,50.5,0.379,37.8,51.2,8.7
1996,4,5,la cruz,12.0,0.461,135.3,9.9,7.6,60.0,66.3,58.3,0.437,43.7,59.1,10.1
2000,4,5,la cruz,12.8,0.492,144.3,10.6,8.1,64.0,70.7,62.2,0.466,46.6,63.0,10.7
2004,4,5,la cruz,13.6,0.523,153.3,11.2,8.6,68.0,75.1,66.0,0.496,49.5,67.0,11.4
2008,4,5,la cruz,14.4,0.553,162.4,11.9,9.1,72.0,79.6,69.9,0.525,52.4,70.9,12.1
2016,4,5,la cruz,18.4,0.707,207.5,15.2,11.6,92.0,101.7,89.4,0.670,66.9,90.6,15.4
2012,4,5,quintero,25.8,0.613,156.5,16.0,9.8,84.4,97.8,77.2,0.544,71.5,81.3,8.9
1992,4,5,quintero,16.8,0.398,101.7,10.4,6.4,54.9,63.6,50.2,0.354,46.5,52.8,5.8
1996,4,5,quintero,19.4,0.460,117.4,12.0,7.4,63.3,73.3,57.9,0.408,53.6,61.0,6.7
2000,4,5,quintero,20.6,0.490,125.2,12.8,7.8,67.5,78.2,61.8,0.435,57.2,65.0,7.1
2004,4,5,quintero,21.9,0.521,133.0,13.6,8.3,71.7,83.1,65.6,0.462,60.8,69.1,7.6
2008,4,5,quintero,23.2,0.552,140.8,14.4,8.8,76.0,88.0,69.5,0.490,64.4,73.2,8.0
2016,4,5,quintero,29.7,0.705,180.0,18.4,11.3,97.1,112.5,88.8,0.626,82.2,93.5,10.2
2012,4,11,aisen,26.8,0.613,216.2,11.5,9.1,82.2,92.0,74.4,0.504,112.3,50.0,10.9
1992,4,11,aisen,17.4,0.398,140.5,7.5,5.9,53.4,59.8,48.4,0.328,73.0,32.5,7.1
1996,4,11,aisen,20.1,0.460,162.1,8.6,6.8,61.7,69.0,55.8,0.378,84.2,37.5,8.2
2000,4,11,aisen,21.4,0.490,173.0,9.2,7.3,65.8,73.6,59.5,0.403,89.8,40.0,8.7
2004,4,11,aisen,22.8,0.521,183.8,9.8,7.7,69.9,78.2,63.2,0.428,95.5,42.5,9.3
2008,4,11,aisen,24.1,0.552,194.6,10.3,8.2,74.0,82.8,67.0,0.454,101.1,45.0,9.8
2016,4,11,aisen,30.8,0.705,248.6,13.2,10.5,94.5,105.8,85.6,0.580,129.1,57.5,12.5
2012,4,10,llanquihue,18.4,0.612,231.7,13.6,9.1,85.1,91.2,73.8,0.488,88.5,72.0,9.7
1992,4,10,llanquihue,12.0,0.398,150.6,8.8,5.9,55.3,59.3,48.0,0.317,57.5,46.8,6.3
1996,4,10,llanquihue,13.8,0.459,173.8,10.2,6.8,63.8,68.4,55.3,0.366,66.4,54.0,7.3
2000,4,10,llanquihue,14.7,0.490,185.4,10.9,7.3,68.1,73.0,59.0,0.390,70.8,57.6,7.8
2004,4,10,llanquihue,15.6,0.520,196.9,11.6,7.7,72.3,77.5,62.7,0.415,75.2,61.2,8.2
2008,4,10,llanquihue,16.6,0.551,208.5,12.2,8.2,76.6,82.1,66.4,0.439,79.7,64.8,8.7
2016,4,10,llanquihue,21.2,0.704,266.5,15.6,10.5,97.9,104.9,84.9,0.561,101.8,82.8,11.2
2012,4,13,el bosque,168.3,0.611,161.0,13.6,9.7,78.8,97.1,77.1,0.550,87.3,73.1,9.4
1992,4,13,el bosque,109.4,0.397,104.7,8.8,6.3,51.2,63.1,50.1,0.358,56.7,47.5,6.1
1996,4,13,el bosque,126.2,0.458,120.8,10.2,7.3,59.1,72.8,57.8,0.413,65.5,54.8,7.1
2000,4,13,el bosque,134.6,0.489,128.8,10.9,7.8,63.0,77.7,61.7,0.440,69.8,58.5,7.5
2004,4,13,el bosque,143.1,0.519,136.8,11.6,8.2,67.0,82.5,65.5,0.468,74.2,62.1,8.0
2008,4,13,el bosque,151.5,0.550,144.9,12.2,8.7,70.9,87.4,69.4,0.495,78.6,65.8,8.5
2016,4,13,el bosque,193.5,0.703,185.1,15.6,11.2,90.6,111.7,88.7,0.632,100.4,84.1,10.8
2012,4,13,padre hurtado,49.9,0.609,155.1,13.4,9.8,80.4,94.9,78.1,0.570,64.5,71.5,10.6
1992,4,13,padre hurtado,32.4,0.396,100.8,8.7,6.4,52.3,61.7,50.8,0.370,41.9,46.5,6.9
1996,4,13,padre hurtado,37.4,0.457,116.3,10.1,7.4,60.3,71.2,58.6,0.427,48.4,53.6,7.9
2000,4,13,padre hurtado,39.9,0.487,124.1,10.7,7.8,64.3,75.9,62.5,0.456,51.6,57.2,8.5
2004,4,13,padre hurtado,42.4,0.518,131.8,11.4,8.3,68.3,80.7,66.4,0.484,54.8,60.8,9.0
2008,4,13,padre hurtado,44.9,0.548,139.6,12.1,8.8,72.4,85.4,70.3,0.513,58.1,64.4,9.5
2016,4,13,padre hurtado,57.4,0.700,178.4,15.4,11.3,92.5,109.1,89.8,0.655,74.2,82.2,12.2
2012,4,5,san esteban,17.5,0.609,181.2,11.0,9.3,83.2,90.8,76.1,0.535,46.5,90.8,7.8
1992,4,5,san esteban,11.4,0.396,117.8,7.2,6.0,54.1,59.0,49.5,0.348,30.2,59.0,5.1
1996,4,5,san esteban,13.1,0.457,135.9,8.2,7.0,62.4,68.1,57.1,0.401,34.9,68.1,5.8
2000,4,5,san esteban,14.0,0.487,145.0,8.8,7.4,66.6,72.6,60.9,0.428,37.2,72.6,6.2
2004,4,5,san esteban,14.9,0.518,154.0,9.3,7.9,70.7,77.2,64.7,0.455,39.5,77.2,6.6
2008,4,5,san esteban,15.8,0.548,163.1,9.9,8.4,74.9,81.7,68.5,0.482,41.9,81.7,7.0
2016,4,5,san esteban,20.1,0.700,208.4,12.6,10.7,95.7,104.4,87.5,0.615,53.5,104.4,9.0
2012,4,5,panquehue,7.5,0.609,229.1,10.6,9.1,80.9,86.9,75.9,0.543,72.0,88.5,13.6
1992,4,5,panquehue,4.9,0.396,148.9,6.9,5.9,52.6,56.5,49.3,0.353,46.8,57.5,8.8
1996,4,5,panquehue,5.6,0.457,171.8,7.9,6.8,60.7,65.2,56.9,0.407,54.0,66.4,10.2
2000,4,5,panquehue,6.0,0.487,183.3,8.5,7.3,64.7,69.5,60.7,0.434,57.6,70.8,10.9
2004,4,5,panquehue,6.4,0.518,194.7,9.0,7.7,68.8,73.9,64.5,0.462,61.2,75.2,11.6
2008,4,5,panquehue,6.8,0.548,206.2,9.5,8.2,72.8,78.2,68.3,0.489,64.8,79.7,12.2
2016,4,5,panquehue,8.6,0.700,263.5,12.2,10.5,93.0,99.9,87.3,0.624,82.8,101.8,15.6
2012,4,6,machalí,35.4,0.608,224.9,17.6,10.1,70.7,93.7,77.5,0.577,67.6,77.9,4.4
1992,4,6,machalí,23.0,0.395,146.2,11.4,6.6,46.0,60.9,50.4,0.375,43.9,50.6,2.9
1996,4,6,machalí,26.5,0.456,168.7,13.2,7.6,53.0,70.3,58.1,0.433,50.7,58.4,3.3
2000,4,6,machalí,28.3,0.486,179.9,14.1,8.1,56.6,75.0,62.0,0.462,54.1,62.3,3.5
2004,4,6,machalí,30.1,0.517,191.2,15.0,8.6,60.1,79.6,65.9,0.490,57.5,66.2,3.7
2008,4,6,machalí,31.9,0.547,202.4,15.8,9.1,63.6,84.3,69.8,0.519,60.8,70.1,4.0
2016,4,6,machalí,40.7,0.699,258.6,20.2,11.6,81.3,107.8,89.1,0.664,77.7,89.6,5.1
2012,4,6,rengo,60.9,0.606,170.8,10.3,9.6,78.5,88.8,77.2,0.567,72.9,71.7,7.1
1992,4,6,rengo,39.6,0.394,111.0,6.7,6.2,51.0,57.7,50.2,0.369,47.4,46.6,4.6
1996,4,6,rengo,45.7,0.455,128.1,7.7,7.2,58.9,66.6,57.9,0.425,54.7,53.8,5.3
2000,4,6,rengo,48.7,0.485,136.6,8.2,7.7,62.8,71.0,61.8,0.454,58.3,57.4,5.7
2004,4,6,rengo,51.8,0.515,145.2,8.8,8.2,66.7,75.5,65.6,0.482,62.0,60.9,6.0
2008,4,6,rengo,54.8,0.545,153.7,9.3,8.6,70.7,79.9,69.5,0.510,65.6,64.5,6.4
2016,4,6,rengo,70.0,0.697,196.4,11.8,11.0,90.3,102.1,88.8,0.652,83.8,82.5,8.2
2012,4,13,san bernardo,311.0,0.605,154.7,18.4,9.9,83.3,99.1,76.7,0.525,69.7,72.7,9.0
1992,4,13,san bernardo,202.2,0.393,100.6,12.0,6.4,54.1,64.4,49.9,0.341,45.3,47.3,5.9
1996,4,13,san bernardo,233.2,0.454,116.0,13.8,7.4,62.5,74.3,57.5,0.394,52.3,54.5,6.8
2000,4,13,san bernardo,248.8,0.484,123.8,14.7,7.9,66.6,79.3,61.4,0.420,55.8,58.2,7.2
2004,4,13,san bernardo,264.3,0.514,131.5,15.6,8.4,70.8,84.2,65.2,0.446,59.2,61.8,7.6
2008,4,13,san bernardo,279.9,0.544,139.2,16.6,8.9,75.0,89.2,69.0,0.473,62.7,65.4,8.1
2016,4,13,san bernardo,357.6,0.696,177.9,21.2,11.4,95.8,114.0,88.2,0.604,80.2,83.6,10.3
2012,4,10,osorno,164.4,0.605,183.7,19.2,10.0,83.2,94.2,75.2,0.507,93.0,73.2,8.8
1992,4,10,osorno,106.9,0.393,119.4,12.5,6.5,54.1,61.2,48.9,0.330,60.5,47.6,5.7
1996,4,10,osorno,123.3,0.454,137.8,14.4,7.5,62.4,70.7,56.4,0.380,69.8,54.9,6.6
2000,4,10,osorno,131.5,0.484,147.0,15.4,8.0,66.6,75.4,60.2,0.406,74.4,58.6,7.0
2004,4,10,osorno,139.7,0.514,156.1,16.3,8.5,70.7,80.1,63.9,0.431,79.0,62.2,7.5
2008,4,10,osorno,148.0,0.544,165.3,17.3,9.0,74.9,84.8,67.7,0.456,83.7,65.9,7.9
2016,4,10,osorno,189.1,0.696,211.3,22.1,11.5,95.7,108.3,86.5,0.583,106.9,84.2,10.1
2012,4,1,pica,18.6,0.604,188.1,12.2,9.6,71.0,94.0,77.5,0.572,23.0,45.8,9.8
1992,4,1,pica,12.1,0.393,122.3,7.9,6.2,46.1,61.1,50.4,0.372,15.0,29.8,6.4
1996,4,1,pica,14.0,0.453,141.1,9.1,7.2,53.2,70.5,58.1,0.429,17.2,34.3,7.4
2000,4,1,pica,14.9,0.483,150.5,9.8,7.7,56.8,75.2,62.0,0.458,18.4,36.6,7.8
2004,4,1,pica,15.8,0.513,159.9,10.4,8.2,60.4,79.9,65.9,0.486,19.6,38.9,8.3
2008,4,1,pica,16.7,0.544,169.3,11.0,8.6,63.9,84.6,69.8,0.515,20.7,41.2,8.8
2016,4,1,pica,21.4,0.695,216.3,14.0,11.0,81.6,108.1,89.1,0.658,26.4,52.7,11.3
2012,4,10,castro,53.1,0.603,200.5,12.9,9.3,88.6,84.5,76.5,0.542,77.8,72.2,9.2
1992,4,10,castro,34.5,0.392,130.3,8.4,6.0,57.6,54.9,49.7,0.352,50.6,46.9,6.0
1996,4,10,castro,39.8,0.452,150.4,9.7,7.0,66.4,63.4,57.4,0.407,58.3,54.2,6.9
2000,4,10,castro,42.5,0.482,160.4,10.3,7.4,70.9,67.6,61.2,0.434,62.2,57.8,7.4
2004,4,10,castro,45.1,0.513,170.4,11.0,7.9,75.3,71.8,65.0,0.461,66.1,61.4,7.8
2008,4,10,castro,47.8,0.543,180.5,11.6,8.4,79.7,76.0,68.9,0.488,70.0,65.0,8.3
2016,4,10,castro,61.1,0.693,230.6,14.8,10.7,101.9,97.2,88.0,0.623,89.5,83.0,10.6
2012,4,13,lo espejo,99.1,0.602,151.3,19.5,9.9,87.1,97.6,75.4,0.494,99.9,75.4,8.8
1992,4,13,lo espejo,64.4,0.391,98.3,12.7,6.4,56.6,63.4,49.0,0.321,64.9,49.0,5.7
1996,4,13,lo espejo,74.3,0.452,113.5,14.6,7.4,65.3,73.2,56.6,0.370,74.9,56.6,6.6
2000,4,13,lo espejo,79.3,0.482,121.0,15.6,7.9,69.7,78.1,60.3,0.395,79.9,60.3,7.0
2004,4,13,lo espejo,84.2,0.512,128.6,16.6,8.4,74.0,83.0,64.1,0.420,84.9,64.1,7.5
2008,4,13,lo espejo,89.2,0.542,136.2,17.6,8.9,78.4,87.8,67.9,0.445,89.9,67.9,7.9
2016,4,13,lo espejo,114.0,0.692,174.0,22.4,11.4,100.2,112.2,86.7,0.568,114.9,86.7,10.1
2012,4,10,cochamó,4.3,0.602,218.3,5.2,8.5,88.9,79.1,79.6,0.614,73.8,66.7,8.5
1992,4,10,cochamó,2.8,0.391,141.9,3.4,5.5,57.8,51.4,51.7,0.399,48.0,43.4,5.5
1996,4,10,cochamó,3.2,0.452,163.7,3.9,6.4,66.7,59.3,59.7,0.461,55.3,50.0,6.4
2000,4,10,cochamó,3.4,0.482,174.6,4.2,6.8,71.1,63.3,63.7,0.491,59.0,53.4,6.8
2004,4,10,cochamó,3.7,0.512,185.6,4.4,7.2,75.6,67.2,67.7,0.522,62.7,56.7,7.2
2008,4,10,cochamó,3.9,0.542,196.5,4.7,7.7,80.0,71.2,71.6,0.553,66.4,60.0,7.7
2016,4,10,cochamó,4.9,0.692,251.0,6.0,9.8,102.2,91.0,91.5,0.706,84.9,76.7,9.8
2012,4,2,san pedro de atacama,9.3,0.602,289.1,5.8,9.1,65.8,80.8,72.6,0.509,53.4,47.6,7.0
1992,4,2,san pedro de atacama,6.0,0.391,187.9,3.8,5.9,42.8,52.5,47.2,0.331,34.7,30.9,4.5
1996,4,2,san pedro de atacama,7.0,0.452,216.8,4.3,6.8,49.3,60.6,54.4,0.382,40.0,35.7,5.2
2000,4,2,san pedro de atacama,7.4,0.482,231.3,4.6,7.3,52.6,64.6,58.1,0.407,42.7,38.1,5.6
2004,4,2,san pedro de atacama,7.9,0.512,245.7,4.9,7.7,55.9,68.7,61.7,0.433,45.4,40.5,6.0
2008,4,2,san pedro de atacama,8.4,0.542,260.2,5.2,8.2,59.2,72.7,65.3,0.458,48.1,42.8,6.3
2016,4,2,san pedro de atacama,10.7,0.692,332.5,6.7,10.5,75.7,92.9,83.5,0.585,61.4,54.7,8.0
2012,4,5,casablanca,29.9,0.601,163.4,15.0,9.8,81.1,92.8,78.7,0.579,52.8,75.8,9.2
1992,4,5,casablanca,19.4,0.391,106.2,9.8,6.4,52.7,60.3,51.2,0.376,34.3,49.3,6.0
1996,4,5,casablanca,22.4,0.451,122.6,11.2,7.4,60.8,69.6,59.0,0.434,39.6,56.8,6.9
2000,4,5,casablanca,23.9,0.481,130.7,12.0,7.8,64.9,74.2,63.0,0.463,42.2,60.6,7.4
2004,4,5,casablanca,25.4,0.511,138.9,12.8,8.3,68.9,78.9,66.9,0.492,44.9,64.4,7.8
2008,4,5,casablanca,26.9,0.541,147.1,13.5,8.8,73.0,83.5,70.8,0.521,47.5,68.2,8.3
2016,4,5,casablanca,34.4,0.691,187.9,17.2,11.3,93.3,106.7,90.5,0.666,60.7,87.2,10.6
2012,4,13,renca,130.8,0.596,152.2,19.6,10.0,83.1,96.3,76.4,0.516,86.4,69.7,6.8
1992,4,13,renca,85.0,0.387,98.9,12.7,6.5,54.0,62.6,49.7,0.335,56.2,45.3,4.4
1996,4,13,renca,98.1,0.447,114.1,14.7,7.5,62.3,72.2,57.3,0.387,64.8,52.3,5.1
2000,4,13,renca,104.6,0.477,121.8,15.7,8.0,66.5,77.0,61.1,0.413,69.1,55.8,5.4
2004,4,13,renca,111.2,0.507,129.4,16.7,8.5,70.6,81.9,64.9,0.439,73.4,59.2,5.8
2008,4,13,renca,117.7,0.536,137.0,17.6,9.0,74.8,86.7,68.8,0.464,77.8,62.7,6.1
2016,4,13,renca,150.4,0.685,175.0,22.5,11.5,95.6,110.7,87.9,0.593,99.4,80.2,7.8
2012,4,6,requínoa,26.0,0.595,140.5,9.3,8.9,88.8,90.5,77.4,0.538,68.9,71.6,4.6
1992,4,6,requínoa,16.9,0.387,91.3,6.0,5.8,57.7,58.8,50.3,0.350,44.8,46.5,3.0
1996,4,6,requínoa,19.5,0.446,105.4,7.0,6.7,66.6,67.9,58.1,0.404,51.7,53.7,3.4
2000,4,6,requínoa,20.8,0.476,112.4,7.4,7.1,71.0,72.4,61.9,0.430,55.1,57.3,3.7
2004,4,6,requínoa,22.1,0.506,119.4,7.9,7.6,75.5,76.9,65.8,0.457,58.6,60.9,3.9
2008,4,6,requínoa,23.4,0.535,126.5,8.4,8.0,79.9,81.5,69.7,0.484,62.0,64.4,4.1
2016,4,6,requínoa,29.9,0.684,161.6,10.7,10.2,102.1,104.1,89.0,0.619,79.2,82.3,5.3
2012,4,3,vallenar,46.5,0.595,194.2,14.7,9.8,69.0,92.1,76.7,0.554,89.8,78.4,9.7
1992,4,3,vallenar,30.2,0.387,126.2,9.6,6.4,44.9,59.9,49.9,0.360,58.4,51.0,6.3
1996,4,3,vallenar,34.9,0.446,145.6,11.0,7.4,51.8,69.1,57.5,0.416,67.3,58.8,7.3
2000,4,3,vallenar,37.2,0.476,155.4,11.8,7.8,55.2,73.7,61.4,0.443,71.8,62.7,7.8
2004,4,3,vallenar,39.5,0.506,165.1,12.5,8.3,58.6,78.3,65.2,0.471,76.3,66.6,8.2
2008,4,3,vallenar,41.9,0.535,174.8,13.2,8.8,62.1,82.9,69.0,0.499,80.8,70.6,8.7
2016,4,3,vallenar,53.5,0.684,223.3,16.9,11.3,79.3,105.9,88.2,0.637,103.3,90.2,11.2
2012,4,11,cochrane,2.8,0.595,283.5,11.7,8.8,81.9,81.0,69.5,0.415,85.1,66.7,6.9
1992,4,11,cochrane,1.8,0.387,184.3,7.6,5.7,53.2,52.6,45.2,0.270,55.3,43.4,4.5
1996,4,11,cochrane,2.1,0.446,212.6,8.8,6.6,61.4,60.8,52.1,0.311,63.8,50.0,5.2
2000,4,11,cochrane,2.2,0.476,226.8,9.4,7.0,65.5,64.8,55.6,0.332,68.1,53.4,5.5
2004,4,11,cochrane,2.4,0.506,241.0,9.9,7.5,69.6,68.8,59.1,0.353,72.3,56.7,5.9
2008,4,11,cochrane,2.5,0.535,255.2,10.5,7.9,73.7,72.9,62.6,0.373,76.6,60.0,6.2
2016,4,11,cochrane,3.2,0.684,326.0,13.5,10.1,94.2,93.1,79.9,0.477,97.9,76.7,7.9
2012,4,13,isla de maipo,31.8,0.593,150.1,11.0,9.3,84.1,88.2,76.9,0.540,71.2,76.0,8.2
1992,4,13,isla de maipo,20.7,0.385,97.6,7.2,6.0,54.7,57.3,50.0,0.351,46.3,49.4,5.3
1996,4,13,isla de maipo,23.9,0.445,112.6,8.2,7.0,63.1,66.2,57.7,0.405,53.4,57.0,6.1
2000,4,13,isla de maipo,25.4,0.474,120.1,8.8,7.4,67.3,70.6,61.5,0.432,57.0,60.8,6.6
2004,4,13,isla de maipo,27.0,0.504,127.6,9.3,7.9,71.5,75.0,65.4,0.459,60.5,64.6,7.0
2008,4,13,isla de maipo,28.6,0.534,135.1,9.9,8.4,75.7,79.4,69.2,0.486,64.1,68.4,7.4
2016,4,13,isla de maipo,36.6,0.682,172.6,12.6,10.7,96.7,101.4,88.4,0.621,81.9,87.4,9.4
2012,4,10,ancud,42.1,0.593,194.9,10.8,9.4,88.5,75.4,76.2,0.546,85.9,77.0,7.6
1992,4,10,ancud,27.4,0.385,126.7,7.0,6.1,57.5,49.0,49.5,0.355,55.8,50.1,4.9
1996,4,10,ancud,31.6,0.445,146.2,8.1,7.1,66.4,56.6,57.2,0.410,64.4,57.8,5.7
2000,4,10,ancud,33.7,0.474,155.9,8.6,7.5,70.8,60.3,61.0,0.437,68.7,61.6,6.1
2004,4,10,ancud,35.8,0.504,165.7,9.2,8.0,75.2,64.1,64.8,0.464,73.0,65.5,6.5
2008,4,10,ancud,37.9,0.534,175.4,9.7,8.5,79.7,67.9,68.6,0.491,77.3,69.3,6.8
2016,4,10,ancud,48.4,0.682,224.1,12.4,10.8,101.8,86.7,87.6,0.628,98.8,88.5,8.7
2012,4,13,la granja,123.4,0.592,149.8,17.8,9.9,80.9,94.0,76.7,0.528,83.8,77.2,8.1
1992,4,13,la granja,80.2,0.385,97.4,11.6,6.4,52.6,61.1,49.9,0.343,54.5,50.2,5.3
1996,4,13,la granja,92.6,0.444,112.4,13.4,7.4,60.7,70.5,57.5,0.396,62.8,57.9,6.1
2000,4,13,la granja,98.7,0.474,119.8,14.2,7.9,64.7,75.2,61.4,0.422,67.0,61.8,6.5
2004,4,13,la granja,104.9,0.503,127.3,15.1,8.4,68.8,79.9,65.2,0.449,71.2,65.6,6.9
2008,4,13,la granja,111.1,0.533,134.8,16.0,8.9,72.8,84.6,69.0,0.475,75.4,69.5,7.3
2016,4,13,la granja,141.9,0.681,172.3,20.5,11.4,93.0,108.1,88.2,0.607,96.4,88.8,9.3
2012,3,1,pozo almonte,17.3,0.591,176.0,9.8,9.7,73.1,83.5,77.3,0.574,44.3,66.7,7.1
1992,3,1,pozo almonte,11.2,0.384,114.4,6.4,6.3,47.5,54.3,50.2,0.373,28.8,43.4,4.6
1996,3,1,pozo almonte,13.0,0.443,132.0,7.4,7.3,54.8,62.6,58.0,0.430,33.2,50.0,5.3
2000,3,1,pozo almonte,13.8,0.473,140.8,7.8,7.8,58.5,66.8,61.8,0.459,35.4,53.4,5.7
2004,3,1,pozo almonte,14.7,0.502,149.6,8.3,8.2,62.1,71.0,65.7,0.488,37.7,56.7,6.0
2008,3,1,pozo almonte,15.6,0.532,158.4,8.8,8.7,65.8,75.2,69.6,0.517,39.9,60.0,6.4
2016,3,1,pozo almonte,19.9,0.680,202.4,11.3,11.2,84.1,96.0,88.9,0.660,50.9,76.7,8.2
2012,3,13,paine,65.4,0.590,165.1,11.2,9.4,81.5,85.0,78.4,0.578,58.2,72.7,6.9
1992,3,13,paine,42.5,0.384,107.3,7.3,6.1,53.0,55.2,51.0,0.376,37.8,47.3,4.5
1996,3,13,paine,49.1,0.443,123.8,8.4,7.1,61.1,63.8,58.8,0.433,43.7,54.5,5.2
2000,3,13,paine,52.3,0.472,132.1,9.0,7.5,65.2,68.0,62.7,0.462,46.6,58.2,5.5
2004,3,13,paine,55.6,0.501,140.3,9.5,8.0,69.3,72.2,66.6,0.491,49.5,61.8,5.9
2008,3,13,paine,58.9,0.531,148.6,10.1,8.5,73.4,76.5,70.6,0.520,52.4,65.4,6.2
2016,3,13,paine,75.2,0.678,189.9,12.9,10.8,93.7,97.7,90.2,0.665,66.9,83.6,7.9
2012,3,3,chañaral,12.7,0.590,210.0,14.3,9.7,59.5,97.1,75.3,0.526,92.4,83.3,12.4
1992,3,3,chañaral,8.3,0.384,136.5,9.3,6.3,38.7,63.1,48.9,0.342,60.1,54.1,8.1
1996,3,3,chañaral,9.5,0.443,157.5,10.7,7.3,44.6,72.8,56.5,0.395,69.3,62.5,9.3
2000,3,3,chañaral,10.2,0.472,168.0,11.4,7.8,47.6,77.7,60.2,0.421,73.9,66.6,9.9
2004,3,3,chañaral,10.8,0.501,178.5,12.2,8.2,50.6,82.5,64.0,0.447,78.5,70.8,10.5
2008,3,3,chañaral,11.4,0.531,189.0,12.9,8.7,53.6,87.4,67.8,0.473,83.2,75.0,11.2
